Run	Number_of_input_reads	Uniquely_mapped_reads_number_Genome	Uniquely_mapped_reads_number_Virus	Library.Name	Age	Tissue	study	BioProject	SRA_Study	Study_Nickname	Age_True	cohort					
SRR12061226	16136419	13880946	178	P30	9	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	9.3	77					
SRR12061227	20256834	17477066	464	P29	9	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	9.3	77					
SRR12061228	8892026	7739058	34	P28	9	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	9.3	77					
SRR12061229	16967219	8482148	3968	P27	9	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	9.3	77					
SRR12061176	25462147	22162020	47	P98	8	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	8.3	77					
SRR12061180	19606412	17020638	2676	P94	8	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	8.3	77					
SRR12061191	16618147	14494518	202	P84	8	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	8.3	77					
SRR12061214	15328811	13331156	17347	P05	8	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	8.3	77					
SRR12061215	18949110	16587755	903	P40	8	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	8.3	77					
SRR12061225	15094371	12852907	5476	P04	8	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	8.3	77					
SRR12061230	19354378	17059099	17	P26	8	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	8.3	77					
SRR12061231	19095235	16691643	2	P25	8	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	8.3	77					
SRR12061232	15679648	13420410	1134	P24	8	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	8.3	77					
SRR12061233	5206941	4419591	31	P23	8	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	8.3	77					
SRR12061238	19689374	17314604	73	P99	8	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	8.3	77					
SRR12061239	18941230	15533355	7962	P03	8	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	8.3	77					
SRR6871219	30301649	7932385	182	Mature_6_PVC	8	PVC	Greer 2018	PRJNA439306	SRP136115 	Greer_PVC	9	28					
SRR6871220	13776706	10975727	818	Mature_5_PVC	8	PVC	Greer 2018	PRJNA439306	SRP136115 	Greer_PVC	8.47	31					
SRR6871221	7887051	5426532	889123	Mature_4_PVC	8	PVC	Greer 2018	PRJNA439306	SRP136115 	Greer_PVC	8.47	31					
SRR6871222	7730831	6153131	144	Mature_3_PVC	8	PVC	Greer 2018	PRJNA439306	SRP136115 	Greer_PVC	8.47	31					
SRR6871223	8372267	6542184	16381	Mature_2_PVC	8	PVC	Greer 2018	PRJNA439306	SRP136115 	Greer_PVC	8.43	31					
SRR6871224	10851107	8064312	777	Mature_1_PVC	8	PVC	Greer 2018	PRJNA439306	SRP136115 	Greer_PVC	8.43	28					
SRR12061178	17001171	14989006	19	P96	7	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	7.5	77					
SRR12061188	27400048	24335154	8412	P87	7	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	7.5	77					
SRR12061190	21106762	18503370	0	P85	7	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	7.5	77					
SRR12061216	20626707	18344333	2416	P39	7	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	7.5	77					
SRR12061217	23391784	20536324	1723	P38	7	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	7.5	77					
SRR12061218	14764921	12108925	1353	P37	7	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	7.5	77					
SRR12061234	19346548	16632800	8	P22	7	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	7.5	77					
SRR12061236	16844998	14804913	7077	P21	7	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	7.5	77					
SRR12061240	17363968	14563382	10	P20	7	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	7.5	77					
SRR12061241	17386570	14764962	3	P19	7	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	7.5	77					
SRR12061250	16538066	13993961	4	P02	7	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	7.5	77					
SRR12061251	19051777	16235510	168	P01	7	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	7.5	77					
SRR12061200	15073689	13241390	14	P76	6	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	6	77					
SRR12061201	14084379	12360935	1573	P75	6	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	6	77					
